index	prediction
0	contradiction
1	contradiction
2	contradiction
3	contradiction
4	contradiction
5	contradiction
6	contradiction
7	contradiction
8	contradiction
9	contradiction
10	contradiction
11	contradiction
12	contradiction
13	contradiction
14	contradiction
15	contradiction
16	contradiction
17	contradiction
18	contradiction
19	contradiction
20	contradiction
21	contradiction
22	contradiction
23	contradiction
24	contradiction
25	contradiction
26	contradiction
27	contradiction
28	contradiction
29	contradiction
30	contradiction
31	contradiction
32	contradiction
33	contradiction
34	contradiction
35	contradiction
36	contradiction
37	contradiction
38	contradiction
39	contradiction
40	contradiction
41	contradiction
42	contradiction
43	contradiction
44	contradiction
45	contradiction
46	contradiction
47	contradiction
48	contradiction
49	contradiction
50	contradiction
51	contradiction
52	contradiction
53	contradiction
54	contradiction
55	contradiction
56	contradiction
57	contradiction
58	contradiction
59	contradiction
60	contradiction
61	contradiction
62	contradiction
63	contradiction
64	contradiction
65	contradiction
66	contradiction
67	contradiction
68	contradiction
69	contradiction
70	contradiction
71	contradiction
72	contradiction
73	contradiction
74	contradiction
75	contradiction
76	contradiction
77	contradiction
78	contradiction
79	contradiction
80	contradiction
81	contradiction
82	contradiction
83	contradiction
84	contradiction
85	contradiction
86	contradiction
87	contradiction
88	contradiction
89	contradiction
90	contradiction
91	contradiction
92	contradiction
93	contradiction
94	contradiction
95	contradiction
96	contradiction
97	contradiction
98	contradiction
99	contradiction
100	contradiction
101	contradiction
102	contradiction
103	contradiction
104	contradiction
105	contradiction
106	contradiction
107	contradiction
108	contradiction
109	contradiction
110	contradiction
111	contradiction
112	contradiction
113	contradiction
114	contradiction
115	contradiction
116	contradiction
117	contradiction
118	contradiction
119	contradiction
120	contradiction
121	contradiction
122	contradiction
123	contradiction
124	contradiction
125	contradiction
126	contradiction
127	contradiction
128	contradiction
129	contradiction
130	contradiction
131	contradiction
132	contradiction
133	contradiction
134	contradiction
135	contradiction
136	contradiction
137	contradiction
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	contradiction
143	contradiction
144	contradiction
145	contradiction
146	contradiction
147	contradiction
148	contradiction
149	contradiction
150	contradiction
151	contradiction
152	contradiction
153	contradiction
154	contradiction
155	contradiction
156	contradiction
157	contradiction
158	contradiction
159	contradiction
160	contradiction
161	contradiction
162	contradiction
163	contradiction
164	contradiction
165	contradiction
166	contradiction
167	contradiction
168	contradiction
169	contradiction
170	contradiction
171	contradiction
172	contradiction
173	contradiction
174	contradiction
175	contradiction
176	contradiction
177	contradiction
178	contradiction
179	contradiction
180	contradiction
181	contradiction
182	contradiction
183	contradiction
184	contradiction
185	contradiction
186	contradiction
